Date,SKU,Units_Sold,Revenue,Price,Promotion,Product_Name,Category,Subcategory,Launch_Date,Cost_Price,Selling_Price,Gross_Margin_Per_Unit,Margin_Percentage,Product_Age_Days,year,month,quarter,week,day_of_week,is_weekend,season,holiday,is_holiday,promotion_event,Snapshot_Date,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value
2024-01-01,SKU001,5,18320.25,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,52.00802390797068,1362,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,16.0,23.0,11.0,7.0,18.0,58420.96
2024-01-01,SKU002,15,57085.35,3805.69,0,Product 002,Home Decor,Table,2024-05-01,3867.09,3805.69,-61.4,-1.6133736589159915,609,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,29.0,12.0,4.0,5.0,10.0,163983.4
2024-01-01,SKU003,5,40391.15,8078.23,0,Product 003,Kitchen,Cushion,2023-12-22,589.48,8078.23,7488.75,92.70285693772028,740,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,34.0,23.0,14.0,6.0,20.0,209060.22
2024-01-01,SKU004,5,34307.85,6861.57,0,Product 004,Lighting,Cookware,2023-04-28,1445.74,6861.57,5415.83,78.92989505317296,978,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,34.0,4.0,7.0,5.0,12.0,42257.92
2024-01-01,SKU005,12,113918.64,9493.22,0,Product 005,Storage,Lamp,2023-04-22,5543.63,9493.22,3949.59,41.60432392802443,984,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,23.0,5.0,5.0,6.0,11.0,170945.89
2024-01-01,SKU006,7,56742.28,8106.04,0,Product 006,Furniture,Shelf,2024-08-02,6021.91,8106.04,2084.13,25.71082797518887,516,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,13.0,6.0,5.0,5.0,10.0,86143.2
2024-01-01,SKU007,27,138080.43,5114.09,0,Product 007,Home Decor,Cabinet,2022-04-05,7748.2,5114.09,-2634.11,-51.506915208766365,1366,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,12.0,2.0,3.0,7.0,10.0,54576.36
2024-01-01,SKU008,14,137796.96,9842.64,0,Product 008,Kitchen,Rug,2024-02-07,2775.15,9842.64,7067.49,71.80482065787228,693,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,18.0,22.0,7.0,5.0,12.0,119954.52
2024-01-01,SKU009,9,21032.01,2336.89,0,Product 009,Lighting,Organizer,2022-08-10,3121.06,2336.89,-784.17,-33.55613657467831,1239,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,13.0,14.0,12.0,5.0,17.0,38968.54
2024-01-01,SKU010,20,13269.2,663.46,0,Product 010,Storage,Sofa,2022-04-14,3889.06,663.46,-3225.6,-486.1785186748259,1357,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,28.0,9.0,12.0,5.0,17.0,200807.32
2024-01-01,SKU011,1,1444.56,1444.56,0,Product 011,Furniture,Chair,2023-08-03,1718.4,1444.56,-273.84,-18.95663731516863,881,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,5.0,3.0,3.0,5.0,10.0,19335.45
2024-01-01,SKU012,17,149249.29,8779.37,0,Product 012,Home Decor,Table,2024-12-09,1256.89,8779.37,7522.48,85.68359688679254,387,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,24.0,14.0,3.0,5.0,10.0,34697.76
2024-01-01,SKU013,17,97882.26,5757.78,0,Product 013,Kitchen,Cushion,2024-03-20,3936.71,5757.78,1821.07,31.627988565037217,651,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,5.0,19.0,4.0,6.0,10.0,38741.0
2024-01-01,SKU014,20,45415.0,2270.75,0,Product 014,Lighting,Cookware,2024-04-17,2008.55,2270.75,262.2,11.546845755807553,623,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,20.0,12.0,6.0,6.0,12.0,62421.2
2024-01-01,SKU015,6,37272.72,6212.12,0,Product 015,Storage,Lamp,2024-02-29,5441.06,6212.12,771.06,12.412187787743958,671,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,23.0,20.0,6.0,5.0,11.0,28908.47
2024-01-01,SKU016,13,28168.66,2166.82,0,Product 016,Furniture,Shelf,2024-05-14,3637.93,2166.82,-1471.11,-67.89257990972945,596,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,20.0,18.0,3.0,7.0,10.0,40171.0
2024-01-01,SKU017,10,84773.2,8477.32,0,Product 017,Home Decor,Cabinet,2023-07-19,6703.26,8477.32,1774.06,20.92713263153921,896,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,28.0,11.0,7.0,5.0,12.0,187691.28
2024-01-01,SKU018,29,161686.89,5575.41,0,Product 018,Kitchen,Rug,2022-05-21,5677.05,5575.41,-101.64,-1.8230049449278167,1320,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,32.0,37.0,13.0,7.0,20.0,85466.88
2024-01-01,SKU019,8,38558.8,4819.85,0,Product 019,Lighting,Organizer,2024-07-12,2670.84,4819.85,2149.01,44.58665726111808,537,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,7.0,32.0,12.0,5.0,17.0,22770.72
2024-01-01,SKU020,11,42872.94,3897.54,0,Product 020,Storage,Sofa,2023-05-11,6700.01,3897.54,-2802.47,-71.90355968123482,965,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,31.0,17.0,3.0,5.0,10.0,171719.54
2024-01-01,SKU021,5,38556.4,7711.28,0,Product 021,Furniture,Chair,2023-07-05,6486.92,7711.28,1224.36,15.87751968544781,910,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,26.0,17.0,4.0,5.0,10.0,7983.56
2024-01-01,SKU022,6,27582.18,4597.03,0,Product 022,Home Decor,Table,2023-02-12,3252.96,4597.03,1344.07,29.237790486466263,1053,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,32.0,20.0,6.0,6.0,12.0,172882.88
2024-01-01,SKU023,14,19834.36,1416.74,0,Product 023,Kitchen,Cushion,2022-07-20,2484.54,1416.74,-1067.8,-75.37021612998856,1260,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,29.0,8.0,5.0,5.0,10.0,110391.4
2024-01-01,SKU024,16,28301.92,1768.87,0,Product 024,Lighting,Cookware,2024-10-16,5539.34,1768.87,-3770.47,-213.15698722913496,441,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,10.0,12.0,12.0,7.0,19.0,13334.3
2024-01-01,SKU025,1,11558.01,11558.01,0,Product 025,Storage,Lamp,2024-05-09,1333.08,11558.01,10224.93,88.46618059683284,601,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,34.0,10.0,12.0,7.0,19.0,132634.0
2024-01-01,SKU026,17,185972.18,10939.54,0,Product 026,Furniture,Shelf,2023-12-10,1799.29,10939.54,9140.25,83.55241628075768,752,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,14.0,33.0,11.0,7.0,18.0,86502.36
2024-01-01,SKU027,21,178848.6,8516.6,0,Product 027,Home Decor,Cabinet,2023-03-19,307.06,8516.6,8209.54,96.3945706032924,1018,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,25.0,1.0,11.0,5.0,16.0,114596.5
2024-01-01,SKU028,4,13936.36,3484.09,0,Product 028,Kitchen,Rug,2024-06-24,6348.66,3484.09,-2864.57,-82.21859940472261,555,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,5.0,3.0,9.0,7.0,16.0,2444.2
2024-01-01,SKU029,22,256133.9,11642.45,0,Product 029,Lighting,Organizer,2023-08-23,5402.59,11642.45,6239.86,53.59576377824254,861,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,5.0,17.0,13.0,5.0,18.0,17080.5
2024-01-01,SKU030,9,84901.59,9433.51,0,Product 030,Storage,Sofa,2023-05-03,5715.03,9433.51,3718.48,39.417777688262376,973,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,30.0,23.0,10.0,5.0,15.0,61890.9
2024-01-01,SKU031,23,200466.39,8715.93,0,Product 031,Furniture,Chair,2023-05-11,6300.65,8715.93,2415.28,27.71109910244805,965,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,22.0,17.0,4.0,5.0,10.0,55557.7
2024-01-01,SKU032,7,39288.13,5612.59,0,Product 032,Home Decor,Table,2022-09-07,3806.6,5612.59,1805.99,32.17747955934782,1211,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,19.0,21.0,9.0,5.0,14.0,86773.0
2024-01-01,SKU033,15,53370.0,3558.0,0,Product 033,Kitchen,Cushion,2022-04-12,4657.74,3558.0,-1099.74,-30.908937605396293,1359,2024,1,Q1,1,Monday,0,Winter,,0,,2024-01-01,10.0,17.0,4.0,5.0,10.0,33995.0
