SKU,Product_Name,Category,Subcategory,Launch_Date,Cost_Price,Selling_Price,Gross_Margin_Per_Unit,Margin_Percentage,Product_Age_Days
SKU001,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,52.00802390797068,1362
SKU002,Product 002,Home Decor,Table,2024-05-01,3867.09,3805.69,-61.4,-1.6133736589159915,609
SKU003,Product 003,Kitchen,Cushion,2023-12-22,589.48,8078.23,7488.75,92.70285693772027,740
SKU004,Product 004,Lighting,Cookware,2023-04-28,1445.74,6861.57,5415.83,78.92989505317296,978
SKU005,Product 005,Storage,Lamp,2023-04-22,5543.63,9493.22,3949.59,41.60432392802443,984
SKU006,Product 006,Furniture,Shelf,2024-08-02,6021.91,8106.04,2084.13,25.71082797518887,516
SKU007,Product 007,Home Decor,Cabinet,2022-04-05,7748.2,5114.09,-2634.11,-51.506915208766365,1366
SKU008,Product 008,Kitchen,Rug,2024-02-07,2775.15,9842.64,7067.49,71.80482065787228,693
SKU009,Product 009,Lighting,Organizer,2022-08-10,3121.06,2336.89,-784.17,-33.55613657467831,1239
SKU010,Product 010,Storage,Sofa,2022-04-14,3889.06,663.46,-3225.6,-486.1785186748259,1357
SKU011,Product 011,Furniture,Chair,2023-08-03,1718.4,1444.56,-273.84,-18.95663731516863,881
SKU012,Product 012,Home Decor,Table,2024-12-09,1256.89,8779.37,7522.48,85.68359688679254,387
SKU013,Product 013,Kitchen,Cushion,2024-03-20,3936.71,5757.78,1821.07,31.627988565037217,651
SKU014,Product 014,Lighting,Cookware,2024-04-17,2008.55,2270.75,262.2,11.546845755807553,623
SKU015,Product 015,Storage,Lamp,2024-02-29,5441.06,6212.12,771.06,12.412187787743958,671
SKU016,Product 016,Furniture,Shelf,2024-05-14,3637.93,2166.82,-1471.11,-67.89257990972945,596
SKU017,Product 017,Home Decor,Cabinet,2023-07-19,6703.26,8477.32,1774.06,20.927132631539212,896
SKU018,Product 018,Kitchen,Rug,2022-05-21,5677.05,5575.41,-101.64,-1.8230049449278172,1320
SKU019,Product 019,Lighting,Organizer,2024-07-12,2670.84,4819.85,2149.01,44.586657261118084,537
SKU020,Product 020,Storage,Sofa,2023-05-11,6700.01,3897.54,-2802.47,-71.90355968123482,965
SKU021,Product 021,Furniture,Chair,2023-07-05,6486.92,7711.28,1224.36,15.87751968544781,910
SKU022,Product 022,Home Decor,Table,2023-02-12,3252.96,4597.03,1344.07,29.237790486466263,1053
SKU023,Product 023,Kitchen,Cushion,2022-07-20,2484.54,1416.74,-1067.8,-75.37021612998856,1260
SKU024,Product 024,Lighting,Cookware,2024-10-16,5539.34,1768.87,-3770.47,-213.15698722913496,441
SKU025,Product 025,Storage,Lamp,2024-05-09,1333.08,11558.01,10224.93,88.46618059683284,601
SKU026,Product 026,Furniture,Shelf,2023-12-10,1799.29,10939.54,9140.25,83.55241628075768,752
SKU027,Product 027,Home Decor,Cabinet,2023-03-19,307.06,8516.6,8209.54,96.3945706032924,1018
SKU028,Product 028,Kitchen,Rug,2024-06-24,6348.66,3484.09,-2864.57,-82.21859940472261,555
SKU029,Product 029,Lighting,Organizer,2023-08-23,5402.59,11642.45,6239.86,53.59576377824254,861
SKU030,Product 030,Storage,Sofa,2023-05-03,5715.03,9433.51,3718.48,39.417777688262376,973
SKU031,Product 031,Furniture,Chair,2023-05-11,6300.65,8715.93,2415.28,27.71109910244805,965
SKU032,Product 032,Home Decor,Table,2022-09-07,3806.6,5612.59,1805.99,32.17747955934782,1211
SKU033,Product 033,Kitchen,Cushion,2022-04-12,4657.74,3558.0,-1099.74,-30.908937605396293,1359
SKU034,Product 034,Lighting,Cookware,2023-09-03,1333.43,1518.14,184.71,12.16686208123098,850
SKU035,Product 035,Storage,Lamp,2024-09-03,1137.61,10870.19,9732.58,89.53458955179255,484
SKU036,Product 036,Furniture,Shelf,2022-03-12,5430.12,5687.0,256.88,4.516968524705469,1390
SKU037,Product 037,Home Decor,Cabinet,2024-08-02,3901.0,2747.42,-1153.58,-41.98775578542778,516
SKU038,Product 038,Kitchen,Rug,2024-06-29,4630.58,3949.1,-681.48,-17.25659010913879,550
SKU039,Product 039,Lighting,Organizer,2022-11-01,6178.74,7118.95,940.21,13.207144312012305,1156
SKU040,Product 040,Storage,Sofa,2023-11-26,5169.07,2450.56,-2718.51,-110.9342354400627,766
SKU041,Product 041,Furniture,Chair,2022-07-01,4540.24,10336.73,5796.49,56.07663158465008,1279
SKU042,Product 042,Home Decor,Table,2024-04-13,4583.86,9198.83,4614.97,50.16909759175896,627
SKU043,Product 043,Kitchen,Cushion,2024-02-10,2605.61,8745.77,6140.16,70.20719730795572,690
SKU044,Product 044,Lighting,Cookware,2023-01-25,488.84,5412.28,4923.44,90.96794696504985,1071
SKU045,Product 045,Storage,Lamp,2022-03-16,3634.56,7676.78,4042.22,52.655149685154456,1386
SKU046,Product 046,Furniture,Shelf,2024-12-03,1913.03,7175.54,5262.51,73.33956747506112,393
SKU047,Product 047,Home Decor,Cabinet,2023-05-06,3416.1,7938.22,4522.12,56.9664232031866,970
SKU048,Product 048,Kitchen,Rug,2024-09-09,6863.87,1379.55,-5484.32,-397.5441267079845,478
SKU049,Product 049,Lighting,Organizer,2024-01-16,2063.03,5223.37,3160.34,60.503850962118335,715
SKU050,Product 050,Storage,Sofa,2024-05-06,701.85,882.72,180.87,20.490076128330614,604
